date;longitude;latitude;uncertainty;tray_height;heading;course;roll;pitch;sog
1677674993155786;3.86450417;43.64492333;-1.0;-1.0;147.17760916;nan;1.0100393;-2.29048372;0.026111
1677674994153067;3.864504;43.64492317;-1.0;-1.0;147.07837304;nan;0.57215958;-2.25180688;0.029444
1677674995155346;3.86450417;43.644923;-1.0;-1.0;146.78974398;nan;0.54374283;-2.78755227;0.025833
1677674996153674;3.86450433;43.64492283;-1.0;-1.0;146.94709828;nan;0.41734907;-2.40942479;0.013056
1677674997164077;3.8645045;43.64492233;-1.0;-1.0;146.72645705;nan;0.44547082;-2.48946527;0.029722
1677674998160969;3.86450467;43.64492183;-1.0;-1.0;147.05663986;nan;0.2644758;-2.56764452;0.006667
1677674999159965;3.86450467;43.644921;-1.0;-1.0;146.86471703;nan;0.50997528;-3.21166087;0.021667
1677675000181601;3.86450467;43.64492067;-1.0;-1.0;146.98345371;nan;0.38250748;-2.41379399;0.028056
1677675001176764;3.86450483;43.64492033;-1.0;-1.0;147.02311721;nan;0.17260609;-2.36040927;0.011667
1677675002163466;3.86450517;43.64491967;-1.0;-1.0;146.87974134;nan;0.35144451;-2.70872989;0.024722
1677675003160477;3.8645055;43.64491917;-1.0;-1.0;146.94580553;nan;0.30746508;-2.68738569;0.016944
1677675004157565;3.8645055;43.64491917;-1.0;-1.0;146.716938;nan;0.18348927;-2.14703841;0.032778
1677675005158307;3.86450633;43.6449185;-1.0;-1.0;146.85384513;nan;0.43385588;-2.09546356;0.012778
1677675006160570;3.86450667;43.64491767;-1.0;-1.0;146.78764815;nan;0.47203132;-2.36553396;0.030278
1677675007158549;3.86450733;43.64491733;-1.0;-1.0;146.80460041;nan;0.66355442;-3.12011338;0.017778
1677675008161359;3.86450833;43.644917;-1.0;-1.0;147.13441107;nan;0.53521801;-3.27577429;0.028333
1677675009159165;3.86450933;43.64491667;-1.0;-1.0;147.15667009;nan;0.41387503;-2.69488352;0.038333
1677675010161711;3.86451017;43.64491617;-1.0;-1.0;146.86242236;nan;0.61177699;-3.00321019;0.0225
1677675011161123;3.86451117;43.64491567;-1.0;-1.0;147.13192649;nan;0.61037431;-3.01449978;0.019167
1677675012158128;3.86451183;43.64491533;-1.0;-1.0;147.19478852;nan;0.34581835;-2.39161225;0.028056
1677675013173092;3.86451267;43.64491483;-1.0;-1.0;147.23197413;nan;0.80017172;-3.14712719;0.020556
1677675014172612;3.864513;43.6449145;-1.0;-1.0;146.9587098;nan;0.78626076;-3.10525453;0.041667
1677675015175195;3.8645145;43.64491417;-1.0;-1.0;147.31372411;nan;0.58299569;-3.12562539;0.078056
1677675016175953;3.86451483;43.64491383;-1.0;-1.0;147.38794366;nan;0.54400021;-2.86890019;0.016667
1677675017174622;3.86451533;43.64491333;-1.0;-1.0;147.19556449;nan;0.59413826;-2.72648469;0.032778
1677675018173808;3.86451567;43.64491283;-1.0;-1.0;147.54961506;nan;0.3476301;-2.58060912;0.026389
1677675019176933;3.864516;43.6449125;-1.0;-1.0;147.0198023;nan;0.5405019;-2.55463825;0.029722
1677675020175076;3.86451633;43.64491183;-1.0;-1.0;147.05209897;nan;0.57243121;-2.13844163;0.011667
1677675021175195;3.86451633;43.6449115;-1.0;-1.0;146.84572634;nan;0.59595192;-2.55127659;0.013333
1677675022171217;3.8645155;43.64491167;-1.0;-1.0;146.95220575;nan;0.90006529;-1.57915147;0.039722
1677675023172937;3.864515;43.64491183;-1.0;-1.0;147.04651369;nan;0.14699962;-0.65533141;0.056944
1677675024172947;3.86451417;43.6449125;-1.0;-1.0;145.52046843;nan;-0.7827705;-0.97086265;0.0825
1677675025167856;3.86451383;43.64491233;-1.0;-1.0;145.21661557;nan;1.26483838;-4.04253239;0.055278
1677675026171054;3.8645135;43.64491283;-1.0;-1.0;146.08988887;nan;1.29944461;-3.94427358;0.067778
1677675027170378;3.86451283;43.64491333;-1.0;-1.0;146.39125659;nan;0.49913523;-3.11986628;0.006667
1677675028172073;3.86451267;43.64491333;-1.0;-1.0;146.26601181;nan;0.48517172;-3.74117191;0.018611
1677675029167657;3.86451233;43.64491317;-1.0;-1.0;146.64851302;nan;0.89724011;-2.42450496;0.024444
1677675030171472;3.8645115;43.64491283;-1.0;-1.0;146.60824888;nan;0.65595788;-2.68549755;0.023333
1677675031172139;3.864511;43.64491283;-1.0;-1.0;146.46265053;nan;0.1667875;-2.28527242;0.027778
1677675032168614;3.864511;43.64491283;-1.0;-1.0;146.26980043;nan;0.22634598;-2.19224281;0.02
1677675033167749;3.8645115;43.644913;-1.0;-1.0;145.69323018;nan;0.14322849;-2.20698099;0.023056
1677675034174828;3.86451217;43.6449135;-1.0;-1.0;145.80736413;nan;-0.06601473;-2.28177471;0.012778
1677675035165860;3.8645125;43.64491367;-1.0;-1.0;146.16163883;nan;0.00715306;-2.09453372;0.020278
1677675036165356;3.86451333;43.64491367;-1.0;-1.0;146.6698642;nan;0.08896166;-2.22745946;0.026111
1677675037171132;3.864514;43.644914;-1.0;-1.0;146.93194001;nan;0.15043758;-2.19857151;0.046944
1677675038163808;3.86451483;43.64491417;-1.0;-1.0;147.03825171;nan;0.42650303;-2.59046399;0.021111
1677675039172855;3.86451483;43.64491417;-1.0;-1.0;147.26401553;nan;0.2205821;-2.34599519;0.055
1677675040175965;3.86451467;43.64491383;-1.0;-1.0;147.17094562;nan;0.22273203;-2.18745495;0.006667
1677675041168827;3.86451433;43.64491367;-1.0;-1.0;147.04634647;nan;0.17631742;-2.08711645;0.035
1677675042167947;3.86451383;43.64491367;-1.0;-1.0;147.07755025;nan;0.2294905;-2.29231064;0.048333
1677675043170125;3.86451367;43.64491417;-1.0;-1.0;147.07420035;nan;0.07299137;-2.58791869;0.033333
1677675044168511;3.86451367;43.64491483;-1.0;-1.0;146.8336833;nan;0.14005966;-2.15969662;0.068611
1677675045167993;3.86451333;43.6449155;-1.0;-1.0;146.78251907;nan;0.1434996;-2.27167641;0.005278
1677675046166758;3.86451267;43.64491717;-1.0;-1.0;146.97034865;nan;0.29434166;-2.85932345;0.139167
1677675047165214;3.864512;43.64491817;-1.0;-1.0;146.97344393;nan;0.15173902;-2.60224389;0.010278
1677674993155786;3.86450417;43.64492333;-1.0;-1.0;147.17760916;nan;1.0100393;-2.29048372;0.026111
1677674994153067;3.864504;43.64492317;-1.0;-1.0;147.07837304;nan;0.57215958;-2.25180688;0.029444
1677674995155346;3.86450417;43.644923;-1.0;-1.0;146.78974398;nan;0.54374283;-2.78755227;0.025833
1677674996153674;3.86450433;43.64492283;-1.0;-1.0;146.94709828;nan;0.41734907;-2.40942479;0.013056
1677674997164077;3.8645045;43.64492233;-1.0;-1.0;146.72645705;nan;0.44547082;-2.48946527;0.029722
1677674998160969;3.86450467;43.64492183;-1.0;-1.0;147.05663986;nan;0.2644758;-2.56764452;0.006667
1677674999159965;3.86450467;43.644921;-1.0;-1.0;146.86471703;nan;0.50997528;-3.21166087;0.021667
1677675000181601;3.86450467;43.64492067;-1.0;-1.0;146.98345371;nan;0.38250748;-2.41379399;0.028056
1677675001176764;3.86450483;43.64492033;-1.0;-1.0;147.02311721;nan;0.17260609;-2.36040927;0.011667
1677675002163466;3.86450517;43.64491967;-1.0;-1.0;146.87974134;nan;0.35144451;-2.70872989;0.024722
1677675003160477;3.8645055;43.64491917;-1.0;-1.0;146.94580553;nan;0.30746508;-2.68738569;0.016944
1677675004157565;3.8645055;43.64491917;-1.0;-1.0;146.716938;nan;0.18348927;-2.14703841;0.032778
1677675005158307;3.86450633;43.6449185;-1.0;-1.0;146.85384513;nan;0.43385588;-2.09546356;0.012778
1677675006160570;3.86450667;43.64491767;-1.0;-1.0;146.78764815;nan;0.47203132;-2.36553396;0.030278
1677675007158549;3.86450733;43.64491733;-1.0;-1.0;146.80460041;nan;0.66355442;-3.12011338;0.017778
1677675008161359;3.86450833;43.644917;-1.0;-1.0;147.13441107;nan;0.53521801;-3.27577429;0.028333
1677675009159165;3.86450933;43.64491667;-1.0;-1.0;147.15667009;nan;0.41387503;-2.69488352;0.038333
1677675010161711;3.86451017;43.64491617;-1.0;-1.0;146.86242236;nan;0.61177699;-3.00321019;0.0225
1677675011161123;3.86451117;43.64491567;-1.0;-1.0;147.13192649;nan;0.61037431;-3.01449978;0.019167
1677675012158128;3.86451183;43.64491533;-1.0;-1.0;147.19478852;nan;0.34581835;-2.39161225;0.028056
1677675013173092;3.86451267;43.64491483;-1.0;-1.0;147.23197413;nan;0.80017172;-3.14712719;0.020556
1677675014172612;3.864513;43.6449145;-1.0;-1.0;146.9587098;nan;0.78626076;-3.10525453;0.041667
1677675015175195;3.8645145;43.64491417;-1.0;-1.0;147.31372411;nan;0.58299569;-3.12562539;0.078056
1677675016175953;3.86451483;43.64491383;-1.0;-1.0;147.38794366;nan;0.54400021;-2.86890019;0.016667
1677675017174622;3.86451533;43.64491333;-1.0;-1.0;147.19556449;nan;0.59413826;-2.72648469;0.032778
1677675018173808;3.86451567;43.64491283;-1.0;-1.0;147.54961506;nan;0.3476301;-2.58060912;0.026389
1677675019176933;3.864516;43.6449125;-1.0;-1.0;147.0198023;nan;0.5405019;-2.55463825;0.029722
1677675020175076;3.86451633;43.64491183;-1.0;-1.0;147.05209897;nan;0.57243121;-2.13844163;0.011667
1677675021175195;3.86451633;43.6449115;-1.0;-1.0;146.84572634;nan;0.59595192;-2.55127659;0.013333
1677675022171217;3.8645155;43.64491167;-1.0;-1.0;146.95220575;nan;0.90006529;-1.57915147;0.039722
1677675023172937;3.864515;43.64491183;-1.0;-1.0;147.04651369;nan;0.14699962;-0.65533141;0.056944
1677675024172947;3.86451417;43.6449125;-1.0;-1.0;145.52046843;nan;-0.7827705;-0.97086265;0.0825
1677675025167856;3.86451383;43.64491233;-1.0;-1.0;145.21661557;nan;1.26483838;-4.04253239;0.055278
1677675026171054;3.8645135;43.64491283;-1.0;-1.0;146.08988887;nan;1.29944461;-3.94427358;0.067778
1677675027170378;3.86451283;43.64491333;-1.0;-1.0;146.39125659;nan;0.49913523;-3.11986628;0.006667
1677675028172073;3.86451267;43.64491333;-1.0;-1.0;146.26601181;nan;0.48517172;-3.74117191;0.018611
1677675029167657;3.86451233;43.64491317;-1.0;-1.0;146.64851302;nan;0.89724011;-2.42450496;0.024444
1677675030171472;3.8645115;43.64491283;-1.0;-1.0;146.60824888;nan;0.65595788;-2.68549755;0.023333
1677675031172139;3.864511;43.64491283;-1.0;-1.0;146.46265053;nan;0.1667875;-2.28527242;0.027778
1677675032168614;3.864511;43.64491283;-1.0;-1.0;146.26980043;nan;0.22634598;-2.19224281;0.02
